SAFE 3x3 affine calibration capture summary
===========================================
total_captures=9
valid_detections=9
calibration_valid_points=9
detection_rate=100.0%

point,machine_x,machine_y,found,calibration_valid,reason,center_u,center_v
P0,96304,20480,1,1,OK,977.3091,914.7307
P1,104496,20480,1,1,OK,975.9055,956.6828
P2,112688,20480,1,1,OK,975.8350,983.1956
P3,112688,36864,1,1,OK,1059.3086,983.7316
P4,104496,36864,1,1,OK,1059.8656,942.7258
P5,96304,36864,1,1,OK,1060.8314,901.7038
P6,96304,53248,1,1,OK,1143.8744,902.6936
P7,104496,53248,1,1,OK,1143.3473,943.2945
P8,112688,53248,1,1,OK,1142.8137,984.7552
