capture,point,machine_x,machine_y,pc_time,sdk_frame,found,calibration_valid,valid_reason,center_u,center_v,bbox_x,bbox_y,bbox_w,bbox_h,area,circularity,otsu,white_ratio,raw_file,result_file,binary_file
1,P0,96304,20480,2026-09-13 21:20:05.580,0,1,1,OK,977.3091,914.7307,932,872,92,86,5835.50,0.857154,46.00,0.058459,raw\capture_01_sdk000000.png,result\capture_01_sdk000000.png,binary\capture_01_sdk000000.png
2,P1,104496,20480,2026-09-13 21:20:11.121,1,1,1,OK,975.9055,956.6828,930,913,93,88,5932.00,0.851337,49.00,0.039968,raw\capture_02_sdk000001.png,result\capture_02_sdk000001.png,binary\capture_02_sdk000001.png
3,P2,112688,20480,2026-09-13 21:20:16.123,2,1,1,OK,975.8350,983.1956,930,940,93,87,5910.00,0.843451,48.00,0.033640,raw\capture_03_sdk000002.png,result\capture_03_sdk000002.png,binary\capture_03_sdk000002.png
4,P3,112688,36864,2026-09-13 21:20:22.006,3,1,1,OK,1059.3086,983.7316,1014,941,92,86,5771.50,0.852576,45.00,0.010259,raw\capture_04_sdk000003.png,result\capture_04_sdk000003.png,binary\capture_04_sdk000003.png
5,P4,104496,36864,2026-09-13 21:20:26.172,4,1,1,OK,1059.8656,942.7258,1014,899,93,88,5893.00,0.847705,50.00,0.026212,raw\capture_05_sdk000004.png,result\capture_05_sdk000004.png,binary\capture_05_sdk000004.png
6,P5,96304,36864,2026-09-13 21:20:30.277,5,1,1,OK,1060.8314,901.7038,1016,859,91,86,5752.00,0.853118,45.00,0.044605,raw\capture_06_sdk000005.png,result\capture_06_sdk000005.png,binary\capture_06_sdk000005.png
7,P6,96304,53248,2026-09-13 21:20:34.862,6,1,1,OK,1143.8744,902.6936,1099,860,91,86,5750.00,0.852822,47.00,0.045614,raw\capture_07_sdk000006.png,result\capture_07_sdk000006.png,binary\capture_07_sdk000006.png
8,P7,104496,53248,2026-09-13 21:20:40.164,7,1,1,OK,1143.3473,943.2945,1098,900,92,87,5837.00,0.860819,50.00,0.026933,raw\capture_08_sdk000007.png,result\capture_08_sdk000007.png,binary\capture_08_sdk000007.png
9,P8,112688,53248,2026-09-13 21:20:44.332,8,1,1,OK,1142.8137,984.7552,1098,942,91,86,5744.00,0.858832,46.00,0.010820,raw\capture_09_sdk000008.png,result\capture_09_sdk000008.png,binary\capture_09_sdk000008.png
